organelle,wavelength,intensity,experiment,field_of_view
peroxisome,483.765,0.7179202720577655,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
peroxisome,493.745,0.6408542245401156,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
peroxisome,503.735,0.2535094381052529,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
vacuole,463.8,0.24932654622802397,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
vacuole,473.78,0.44316255895954154,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
vacuole,483.765,0.5543111667285798,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
vacuole,493.745,0.7078357046050981,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
vacuole,503.735,0.2905246367672486,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-1
peroxisome,463.8,0.38095035487641415,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
peroxisome,473.78,0.7657063356130402,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
peroxisome,483.765,0.7177268082503453,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
peroxisome,493.745,0.6460829558002323,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
peroxisome,503.735,0.2585121417173163,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
vacuole,463.8,0.27503610894711555,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
vacuole,473.78,0.45904032471290934,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
vacuole,483.765,0.5655598085887747,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
vacuole,493.745,0.7186128522156018,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
vacuole,503.735,0.2998833216675821,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-2
peroxisome,463.8,0.398671081049498,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
peroxisome,473.78,0.7858859598120878,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
peroxisome,483.765,0.7282365570168405,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
peroxisome,493.745,0.6412642758639606,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
peroxisome,503.735,0.25374883654058433,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
vacuole,463.8,0.3142008868697012,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
vacuole,473.78,0.471808435028986,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
vacuole,483.765,0.5751381125536413,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
vacuole,493.745,0.7207299242011596,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
vacuole,503.735,0.2948924664203963,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
peroxisome,463.8,0.4216410196506103,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
peroxisome,473.78,0.7805311232235372,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
peroxisome,483.765,0.7308470714840561,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
peroxisome,493.745,0.647005755419027,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
peroxisome,503.735,0.24693216246393226,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
vacuole,463.8,0.3520405667114039,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
vacuole,473.78,0.48848184669569966,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
vacuole,483.765,0.5941230721391505,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
vacuole,493.745,0.7289997770888376,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
vacuole,503.735,0.296392714917379,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
peroxisome,463.8,0.4210291095666745,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
peroxisome,473.78,0.77344407770906,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
peroxisome,483.765,0.7270018104834381,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
peroxisome,493.745,0.6514546209395384,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
peroxisome,503.735,0.2568487574428656,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
vacuole,463.8,0.35638747619369354,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
vacuole,473.78,0.46987021311429855,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
vacuole,483.765,0.5843806760997607,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
vacuole,493.745,0.7376623504282602,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
vacuole,503.735,0.31026555496088887,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
peroxisome,463.8,0.38537393939431785,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
peroxisome,473.78,0.7396741621320877,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
