organelle,wavelength,intensity,experiment,field_of_view
mitochondria,580.875,0.4917844643989189,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
mitochondria,590.87,0.4180647244995491,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
mitochondria,600.865,0.6287592296766426,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
mitochondria,610.86,0.2152962908683214,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
LD,570.885,0.40434394971973875,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
LD,580.875,0.46590650173403536,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
LD,590.87,0.45708791665365966,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
LD,600.865,0.657780894073055,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
LD,610.86,0.2716983855228591,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-3
mitochondria,570.885,0.5250189822548801,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
mitochondria,580.875,0.5170202365710936,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
mitochondria,590.87,0.45254208330021756,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
mitochondria,600.865,0.641384369115816,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
mitochondria,610.86,0.2236163293246187,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
LD,570.885,0.4535996393686508,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
LD,580.875,0.4958914567462278,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
LD,590.87,0.49558428641364904,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
LD,600.865,0.6600897648605556,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
LD,610.86,0.27508444826434925,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-4
mitochondria,570.885,0.5309263237892069,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
mitochondria,580.875,0.5099282780442569,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
mitochondria,590.87,0.46261693411767174,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
mitochondria,600.865,0.6515384641423513,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
mitochondria,610.86,0.23175018788035084,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
LD,570.885,0.4632989976199948,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
LD,580.875,0.48602690050461106,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
LD,590.87,0.4769356818979377,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
LD,600.865,0.6768635407615132,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
LD,610.86,0.28060178704958444,EYrainbow_glucose,spectral-blue_EYrainbow_glu-200_field-5
mitochondria,570.885,0.2259736483102798,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
mitochondria,580.875,0.3033156039510244,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
mitochondria,590.87,0.29753653280873954,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
mitochondria,600.865,0.49422287368418993,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
mitochondria,610.86,0.17880759746502511,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
LD,570.885,0.23115799821105995,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
LD,580.875,0.32527480136240194,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
LD,590.87,0.31926970950139777,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
LD,600.865,0.5116274172207979,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
LD,610.86,0.20923751214033964,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
mitochondria,570.885,0.3090229579298094,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
mitochondria,580.875,0.3682756743359893,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
mitochondria,590.87,0.32401430184132723,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
mitochondria,600.865,0.5443732143441343,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
mitochondria,610.86,0.2022641404142728,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
LD,570.885,0.2928479829392825,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
LD,580.875,0.37701713827771666,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
LD,590.87,0.3464749693871827,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
LD,600.865,0.5622833312913347,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
LD,610.86,0.22887258210486947,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
mitochondria,570.885,0.37546588637796735,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
mitochondria,580.875,0.4103639190467478,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
mitochondria,590.87,0.3581162977244971,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
mitochondria,600.865,0.5740724129318397,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
mitochondria,610.86,0.2076145654343395,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
LD,570.885,0.35193652059718017,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
LD,580.875,0.4079967806660952,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
LD,590.87,0.38109713754648883,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
LD,600.865,0.5915781399137918,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
LD,610.86,0.237565770761663,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
mitochondria,570.885,0.44862201570277865,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
