filename,organelle,pixel_lower,pixel_upper,error_lower,error_upper
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0-5_field-5,ER,29089,9565143,0.21678279986585683,71.28325073592428
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0-5_field-6,ER,49259,9462278,0.207800042185193,39.91680236237081
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0-5_field-7,ER,46510,9420782,0.1669742161079319,33.821279070602344
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0_field-0,ER,35358,9481695,0.1624661701120694,43.567358810474516
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0_field-1,ER,55137,9378537,0.17187826341761459,29.235661224909677
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0_field-2,ER,56065,9390076,0.18129227943554124,30.36383273188209
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0_field-3,ER,120450,9067737,0.1907088606392428,14.356976271036162
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0_field-4,ER,121260,9067921,0.19204728487330675,14.361451488501078
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0_field-5,ER,130790,8897915,0.16319924932587818,11.102783458716043
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0_field-6,ER,19288,9570353,0.1495483620856755,74.20316340376041
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-100_field-0,ER,72800,9371830,0.22229143384081734,28.61644956610422
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-100_field-1,ER,29151,9620025,0.3675901289989029,121.30720149300782
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-100_field-2,ER,50888,9433296,0.1912852589162206,35.45925302219282
