experiment,filename,organelle,pixel_lower,pixel_upper,error_lower,error_upper
EYrainbow_glucose,mitochondria_EYrainbow_glu-200_field-5,mitochondria,932.0,979.0,0.0069019143185100156,0.007249972229422002
EYrainbow_glucose,mitochondria_EYrainbow_glu-50_field-0,mitochondria,2072.0,2210.0,0.008918425674047038,0.009512413484384146
EYrainbow_glucose,mitochondria_EYrainbow_glu-50_field-1,mitochondria,2511.0,2605.0,0.008240595186914815,0.008549084214222657
EYrainbow_glucose,mitochondria_EYrainbow_glu-50_field-2,mitochondria,3468.0,3489.0,0.00769242712933614,0.007739007570430736
EYrainbow_glucose,mitochondria_EYrainbow_glu-50_field-3,mitochondria,4228.0,4361.0,0.007410861083163603,0.007643984196706829
EYrainbow_glucose,mitochondria_EYrainbow_glu-50_field-4,mitochondria,4387.0,4500.0,0.007316007497782017,0.0075044526419008615
EYrainbow_glucose,mitochondria_EYrainbow_glu-50_field-5,mitochondria,4859.0,4874.0,0.007817087551702337,0.007841219330520104
EYrainbow_glucose,mitochondria_EYrainbow_glu-5_field-0,mitochondria,1.0,2003.0,2.6219398684310572e-06,0.005251745556467408
EYrainbow_glucose,mitochondria_EYrainbow_glu-5_field-1,mitochondria,2490.0,2593.0,0.005640809558113931,0.005874144250678483
EYrainbow_glucose,mitochondria_EYrainbow_glu-5_field-2,mitochondria,4108.0,4047.0,0.005687741864023094,0.005603284158642031
EYrainbow_glucose,mitochondria_EYrainbow_glu-5_field-3,mitochondria,2997.0,3232.0,0.005605106500763992,0.006044612682839247
EYrainbow_glucose,mitochondria_EYrainbow_glu-5_field-4,mitochondria,1.0,3513.0,1.593432508572667e-06,0.005597728402615779
EYrainbow_glucose,mitochondria_EYrainbow_glu-5_field-5,mitochondria,2312.0,2310.0,0.006359492890956152,0.0063539915995279896
EYrainbow_glucose,mitochondria_EYrainbow_glu-5_field-6,mitochondria,3991.0,3534.0,0.005789142348207266,0.005126241307583182
EYrainbow_glucose,peroxisome_EYrainbow_glu-0-5_field-0,peroxisome,1227.0,417.0,0.03094655602915584,0.010517289212842694
EYrainbow_glucose,peroxisome_EYrainbow_glu-0-5_field-1,peroxisome,1095.0,376.0,0.029407025459233,0.010097754860887313
EYrainbow_glucose,peroxisome_EYrainbow_glu-0-5_field-2,peroxisome,1182.0,397.0,0.03147635279079676,0.010572006817213464
EYrainbow_glucose,peroxisome_EYrainbow_glu-0-5_field-3,peroxisome,1019.0,366.0,0.030695544778142604,0.011025092628852005
