filename,organelle,pixel_lower,pixel_upper,error_lower,error_upper
EYrainbow_glucose/peroxisome_EYrainbow_glu-0-5_field-0,peroxisome,4398,834,0.11092335241746323,0.021034578425685388
EYrainbow_glucose/peroxisome_EYrainbow_glu-0-5_field-1,peroxisome,3944,752,0.1059190031152648,0.020195509721774627
EYrainbow_glucose/peroxisome_EYrainbow_glu-0-5_field-2,peroxisome,4292,794,0.11429484448231786,0.021144013634426927
EYrainbow_glucose/peroxisome_EYrainbow_glu-0-5_field-3,peroxisome,3472,732,0.10458776395457421,0.02205018525770401
EYrainbow_glucose/peroxisome_EYrainbow_glu-0-5_field-4,peroxisome,2360,378,0.09772256728778468,0.01565217391304348
EYrainbow_glucose/peroxisome_EYrainbow_glu-0-5_field-5,peroxisome,2442,460,0.09438045914817964,0.01777846486820747
EYrainbow_glucose/peroxisome_EYrainbow_glu-0_field-0,peroxisome,3502,652,0.09558382007751515,0.017795731208035372
EYrainbow_glucose/peroxisome_EYrainbow_glu-0_field-1,peroxisome,2,1116,3.047294002925402e-05,0.017003900536323745
EYrainbow_glucose/peroxisome_EYrainbow_glu-0_field-2,peroxisome,4319,738,0.09674745755118498,0.01653151740513418
EYrainbow_glucose/peroxisome_EYrainbow_glu-0_field-3,peroxisome,5195,942,0.09210502987429747,0.016701239295782138
EYrainbow_glucose/peroxisome_EYrainbow_glu-0_field-4,peroxisome,2761,444,0.09724570301493378,0.015638207945900255
EYrainbow_glucose/peroxisome_EYrainbow_glu-0_field-5,peroxisome,3226,524,0.09835066004085241,0.015975122709673484
EYrainbow_glucose/peroxisome_EYrainbow_glu-100_field-0,peroxisome,3511,608,0.1035845994984511,0.017937748930520726
EYrainbow_glucose/peroxisome_EYrainbow_glu-100_field-1,peroxisome,3250,644,0.09665427509293681,0.019152416356877325
EYrainbow_glucose/peroxisome_EYrainbow_glu-100_field-2,peroxisome,3702,752,0.08617519029772573,0.01750506296701506
EYrainbow_glucose/peroxisome_EYrainbow_glu-100_field-3,peroxisome,3060,586,0.0906827880512091,0.0173660502607871
EYrainbow_glucose/peroxisome_EYrainbow_glu-200_field-0,peroxisome,3944,762,0.11613663133097762,0.02243816254416961
EYrainbow_glucose/peroxisome_EYrainbow_glu-200_field-1,peroxisome,2476,478,0.12491171425688628,0.02411462011905963
EYrainbow_glucose/peroxisome_EYrainbow_glu-200_field-2,peroxisome,2375,398,0.11611420748997751,0.01945829666568886
EYrainbow_glucose/peroxisome_EYrainbow_glu-200_field-3,peroxisome,1826,286,0.12187145431489022,0.01908830007341654
EYrainbow_glucose/peroxisome_EYrainbow_glu-200_field-4,peroxisome,1626,306,0.1058249267816466,0.019915392124959325
EYrainbow_glucose/peroxisome_EYrainbow_glu-200_field-5,peroxisome,2182,352,0.12033309435835217,0.019412121546351954
