YFP Volume Fraction,YFP Total Volume,Organelle Total Volume,Organelle Volume Fraction,Cell Volume
0,0,27.57473348,0.344259078,80.09878384
0.001226718,0.098577267,10.92668438,0.135974115,80.35856219
0,0,17.22176092,0.291208211,59.13899491
0,0,1.88907123,0.032431438,58.24814961
0,0,15.71414998,0.299907467,52.39666128
0.000509253,0.051635711,27.14074965,0.267673251,101.3950759
0,0,3.661557637,0.083115614,44.05378792
0,0,4.86344443,0.141161202,34.45312434
0,0,5.969347719,0.155203777,38.46135607
0.007976092,0.298078878,9.982797729,0.26712296,37.37154509
0,0,6.643428801,0.188008684,35.33575507
0.006282071,0.3591029,14.10735162,0.246791047,57.1631418
0,0,15.08653632,0.203016179,74.31199028
0,0,6.448701812,0.124343224,51.86210898
0,0,6.809442692,0.160836233,42.33774035
0.006175245,0.361449978,13.14008805,0.224493761,58.53208557
0.000493081,0.098577267,61.69877183,0.30861558,199.921118
0.003432814,0.199501611,14.21638604,0.244620597,58.11606299
0.005145862,0.330937967,11.34468868,0.176402258,64.31147101
0,0,3.630043473,0.038403353,94.52412802
0,0,9.477385246,0.244910193,38.69739
0.003149356,0.154907133,15.75659239,0.320341129,49.18691662
0,0,16.60374468,0.146662282,113.2107348
0.006027317,0.377879523,15.12842975,0.241303994,62.69448541
0.007529112,0.659528856,12.96174229,0.147969887,87.59716301
0,0,11.37075242,0.219847843,51.72100964
0,0,23.55219002,0.472093868,49.88878616
0,0,2.53104494,0.063945394,39.5813487
0.008502123,0.502274645,16.06030164,0.271856565,59.07637967
0,0,7.363356648,0.151520809,48.59633937
0,0,1.858846051,0.032572034,57.06877326
0.004895393,0.185419145,3.494129379,0.09225119,37.87625276
0,0,7.063867642,0.193256222,36.5518251
0.000906929,0.056329867,11.54091507,0.185812434,62.11056402
0.002331281,0.208889922,8.582400116,0.09578243,89.60307334
0,0,5.310979159,0.148427211,35.78170829
0,0,9.904087341,0.266416915,37.17514465
0.001121591,0.086841878,8.258714673,0.106663973,77.42740521
