organelle,index,segmented,average,standard_deviation
LD,33,372.0,258.60055,124.99826114669555
LD,34,144.0,100.49455,46.540911790568735
LD,35,94.0,81.3506,46.39902994287704
LD,36,146.0,32.5037,50.25917315585285
LD,37,171.0,161.19435,79.33834053014658
LD,38,96.0,1.019,5.904848770290395
LD,39,59.0,1.54335,6.51793071284898
LD,40,318.0,260.44005,127.83019090182687
LD,42,272.0,184.11685,105.27340972951099
LD,43,289.0,204.88435,105.57812403655171
LD,44,243.0,152.9365,73.5814614407053
LD,46,224.0,162.2575,89.94044748471067
LD,47,264.0,8.84815,26.523474349668067
LD,48,252.0,194.23045,107.45472043050272
LD,49,198.0,97.7228,69.41603316352787
LD,50,299.0,228.66785,102.34713589728587
LD,51,233.0,145.20945,85.12271835824734
LD,52,276.0,157.7394,51.66050897581246
LD,53,200.0,111.4447,72.58169701729217
LD,56,220.0,96.95705,49.800034189722204
LD,57,182.0,114.3995,49.32696828054609
LD,59,208.0,108.5516,62.25129827915238
LD,60,113.0,85.4905,41.86182998568028
LD,61,152.0,75.13865,31.48221285388783
LD,62,249.0,75.7974,48.223755071955985
LD,63,178.0,13.2763,35.6891350176773
LD,66,62.0,9.245,22.317313346368557
LD,67,197.0,63.87315,35.94829146256467
LD,68,145.0,0.8416,9.06676951510294
LD,70,263.0,224.67185,115.11796631098684
LD,72,295.0,208.44005,120.67965613970526
LD,75,143.0,31.50305,45.35572279985735
LD,76,236.0,147.52515,67.44827030752901
LD,77,219.0,194.13805,98.65528314387171
LD,78,266.0,217.8201,115.18366175803754
LD,80,139.0,74.182,42.897864468991926
LD,81,177.0,108.87865,58.873543499414914
LD,82,125.0,0.63745,6.938285631011454
LD,85,169.0,101.673,56.23291714823267
LD,87,147.0,84.7813,49.67188812910176
LD,88,148.0,64.52245,38.58684096939655
LD,89,182.0,88.4336,57.51815183957148
LD,90,256.0,118.69155,61.66098611437786
LD,91,184.0,124.58405,64.0552389395083
LD,92,150.0,86.917,48.04775552510232
LD,93,149.0,89.0649,50.69127329225416
LD,94,184.0,20.19265,37.80141314789038
LD,95,224.0,173.0183,99.53966779686378
LD,96,150.0,9.9163,28.15169967000216
LD,97,218.0,152.8062,93.16524105888419
LD,99,306.0,244.53615,110.13900940710107
LD,100,196.0,105.70605,69.80134413746987
LD,101,82.0,73.8684,30.1309538753754
LD,102,104.0,57.5644,33.262415015148854
